API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
30-025-47452-00,840300005442485,112,ACTUAL,10916.0,2.00,229.54,0,10881,,174.30,535.34,,0.84,32.02098,-103.31556,11627300.91,2162331.61,-7912
30-025-47452-00,840300005442485,113,ACTUAL,11010.0,2.40,235.54,0,10975,,172.12,532.47,,0.49,32.02097,-103.31556,11627298.69,2162328.77,-8006
30-025-47452-00,840300005442485,114,ACTUAL,11105.0,1.80,225.54,0,11070,,169.95,529.77,,0.74,32.02097,-103.31557,11627296.47,2162326.10,-8101
30-025-47452-00,840300005442485,115,ACTUAL,11200.0,2.00,229.34,0,11165,,167.83,527.44,,0.25,32.02096,-103.31558,11627294.31,2162323.81,-8196
30-025-47452-00,840300005442485,116,ACTUAL,11294.0,2.40,240.74,0,11259,,165.80,524.48,,0.63,32.02096,-103.31559,11627292.24,2162320.89,-8290
30-025-47452-00,840300005442485,117,ACTUAL,11389.0,2.30,248.34,0,11354,,164.12,520.98,,0.34,32.02095,-103.31560,11627290.51,2162317.41,-8385
30-025-47452-00,840300005442485,118,ACTUAL,11484.0,3.20,259.64,0,11449,,162.94,516.60,,1.10,32.02095,-103.31562,11627289.26,2162313.05,-8479
30-025-47452-00,840300005442485,119,ACTUAL,11507.0,3.10,258.54,0,11472,,162.70,515.36,,0.51,32.02095,-103.31562,11627289.00,2162311.81,-8502
30-025-47452-00,840300005442485,120,ACTUAL,11580.0,2.50,248.84,0,11545,,161.74,511.94,,1.04,32.02094,-103.31563,11627287.98,2162308.41,-8575
30-025-47452-00,840300005442485,121,ACTUAL,11627.0,5.60,194.34,0,11592,,159.14,510.41,,9.83,32.02094,-103.31564,11627285.36,2162306.92,-8622
